target_group,cluster_rank,top10_label,cluster_id,risk_pct_mean,infra_need_mean,vulnerability_mean,vulnerability_max,grid_n,cctv_need_rate,light_need_rate,wifi_need_rate,cctv_priority,light_priority,wifi_priority,need_facility_n,primary_facility,facility_priority_order,recommendation_type,police_distance_mean_km,police_distance_min_km,police_distance_max_km,police_access_reference,cctv_needed,light_needed,wifi_needed,longitude,latitude
노인,1,노인 TOP1,E111,41.67,1.0,0.4167,0.4167,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.02577725912290825,0.02577725912290825,0.02577725912290825,0.5km 이내,True,True,True,128.7037164406596,35.144808149683264
노인,2,노인 TOP2,E80,38.31,1.0,0.3831,0.3831,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,1.083803310681522,1.083803310681522,1.083803310681522,1~2km,True,True,True,128.6700281987041,35.245221466779526
노인,3,노인 TOP3,E12,36.214999999999996,1.0,0.36214999999999997,0.391,2,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,3.5035705125853065,3.4536857612900014,3.553455263880611,2km 초과,True,True,True,128.55452960040472,35.15296098243912
노인,4,노인 TOP4,E62,34.72,1.0,0.3472,0.3472,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.8047152952909122,0.8047152952909122,0.8047152952909122,0.5~1km,True,True,True,128.63613720373942,35.25816746325468
노인,5,노인 TOP5,E106,34.64,1.0,0.3464,0.3464,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.5731430472216026,0.5731430472216026,0.5731430472216026,0.5~1km,True,True,True,128.69923464555433,35.21337803200268
노인,6,노인 TOP6,E91,53.37,0.6460211173698045,0.34478147034026463,0.34478147034026463,1,0.0,1.0,1.0,0.0,0.4699155893514083,0.17610552801839613,2,보안등,보안등 > Wi-Fi,복수시설 보완 필요,0.8015854794640414,0.8015854794640414,0.8015854794640414,0.5~1km,False,True,True,128.6786891555391,35.23612097566318
노인,7,노인 TOP7,E72,64.265,0.5300844106485917,0.3406587465033174,0.41108046045798285,2,1.0,0.0,1.0,0.35397888263019556,0.0,0.17610552801839613,2,CCTV,CCTV > Wi-Fi,복수시설 보완 필요,0.07542249658415544,0.03173301601310153,0.11911197715520935,0.5km 이내,True,False,True,128.6604197600384,35.14928803134384
노인,8,노인 TOP8,E83,33.33,1.0,0.3333,0.3333,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,1.5360416222921636,1.5360416222921636,1.5360416222921636,1~2km,True,True,True,128.67447592116207,35.24878495498598
노인,9,노인 TOP9,E99,33.33,1.0,0.3333,0.3333,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.2538662739638458,0.2538662739638458,0.2538662739638458,0.5km 이내,True,True,True,128.69069008611459,35.154855077886516
노인,10,노인 TOP10,E52,32.05,1.0,0.32049999999999995,0.32049999999999995,1,1.0,1.0,1.0,0.35397888263019556,0.4699155893514083,0.17610552801839613,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,1.4996133241239342,1.4996133241239342,1.4996133241239342,1~2km,True,True,True,128.6129939776057,35.253874324590576
